token,tf score,idf score,tf-idf score
"('warehouse door', 'NN,NN')",1.5,4.105394398408686,6.158091597613029
"('warehouse', 'NN')",2.0,2.159484249353372,4.318968498706744
"('door', 'NN')",3.0,1.3973441973064755,4.192032591919427
"('doors', 'NNS')",1.0,2.806111414278425,2.806111414278425
"('another break-in', 'DT,NN')",0.5,4.51085950651685,2.255429753258425
"('real one', 'JJ,CD')",0.5,4.51085950651685,2.255429753258425
"('street door', 'NN,NN')",0.5,4.51085950651685,2.255429753258425
"('immediately reported', 'RB,VBD')",0.5,4.51085950651685,2.255429753258425
"('german station', 'JJ,NN')",0.5,4.51085950651685,2.255429753258425
"('tuned', 'VBD')",0.5,4.51085950651685,2.255429753258425
"('locked', 'VBD')",0.5,4.51085950651685,2.255429753258425
"('heard anything', 'NN,NN')",0.5,4.51085950651685,2.255429753258425
"('office came', 'NN,VBD')",0.5,4.51085950651685,2.255429753258425
"('came upstairs', 'VBD,IN')",0.5,4.51085950651685,2.255429753258425
"('kleiman left', 'NNP,VBD')",0.5,4.51085950651685,2.255429753258425
"('left us', 'VBD,PRP')",0.5,4.51085950651685,2.255429753258425
"('indignant', 'JJ')",0.5,4.51085950651685,2.255429753258425
"('tenterhooks', 'NNS')",0.5,4.51085950651685,2.255429753258425
"('find anything', 'VBP,NN')",0.5,4.51085950651685,2.255429753258425
"('anything worth', 'NN,JJ')",0.5,4.51085950651685,2.255429753258425
"('worth stealing', 'JJ,VBG')",0.5,4.51085950651685,2.255429753258425
"('worth', 'JJ')",0.5,4.51085950651685,2.255429753258425
"('stealing', 'VBG')",0.5,4.51085950651685,2.255429753258425
"('stole two', 'VBP,CD')",0.5,4.51085950651685,2.255429753258425
"('two cashboxes', 'CD,NNS')",0.5,4.51085950651685,2.255429753258425
"('cashboxes containing', 'NNS,VBG')",0.5,4.51085950651685,2.255429753258425
"('containing 40', 'VBG,CD')",0.5,4.51085950651685,2.255429753258425
"('40 guilders', 'CD,NNS')",0.5,4.51085950651685,2.255429753258425
"('blank checkbooks', 'JJ,NNS')",0.5,4.51085950651685,2.255429753258425
"('330 pounds', 'CD,NNS')",0.5,4.51085950651685,2.255429753258425
"('entire allotment', 'JJ,NN')",0.5,4.51085950651685,2.255429753258425
"('stole', 'VBP')",0.5,4.51085950651685,2.255429753258425
"('cashboxes', 'NNS')",0.5,4.51085950651685,2.255429753258425
"('40', 'CD')",0.5,4.51085950651685,2.255429753258425
"('blank', 'JJ')",0.5,4.51085950651685,2.255429753258425
"('checkbooks', 'NNS')",0.5,4.51085950651685,2.255429753258425
"('330', 'CD')",0.5,4.51085950651685,2.255429753258425
"('allotment', 'NN')",0.5,4.51085950651685,2.255429753258425
"('wangle new', 'VB,JJ')",0.5,4.51085950651685,2.255429753258425
"('new ones', 'JJ,NNS')",0.5,4.51085950651685,2.255429753258425
"('wangle', 'VB')",0.5,4.51085950651685,2.255429753258425
"('kugler thinks', 'NNP,VBZ')",0.5,4.51085950651685,2.255429753258425
"('burglar belongs', 'JJ,NNS')",0.5,4.51085950651685,2.255429753258425
"('unsuccessful attempt', 'JJ,NN')",0.5,4.51085950651685,2.255429753258425
"('attempt six', 'NN,CD')",0.5,4.51085950651685,2.255429753258425
"('three doors', 'CD,NNS')",0.5,4.51085950651685,2.255429753258425
"('two outside', 'CD,JJ')",0.5,4.51085950651685,2.255429753258425
"('burglar', 'JJ')",0.5,4.51085950651685,2.255429753258425
"('belongs', 'NNS')",0.5,4.51085950651685,2.255429753258425
"('unsuccessful', 'JJ')",0.5,4.51085950651685,2.255429753258425
"('burglary caused', 'NN,VBD')",0.5,4.51085950651685,2.255429753258425
"('caused another', 'VBD,DT')",0.5,4.51085950651685,2.255429753258425
"('another stir', 'DT,NN')",0.5,4.51085950651685,2.255429753258425
"('annex seems', 'NNP,VBZ')",0.5,4.51085950651685,2.255429753258425
"('burglary', 'NN')",0.5,4.51085950651685,2.255429753258425
"('stir', 'NN')",0.5,4.51085950651685,2.255429753258425
"('thrive', 'VB')",0.5,4.51085950651685,2.255429753258425
"('cash register', 'NN,NN')",0.5,4.51085950651685,2.255429753258425
"('safely tucked', 'RB,VBN')",0.5,4.51085950651685,2.255429753258425
"('tucked away', 'VBN,RP')",0.5,4.51085950651685,2.255429753258425
"('clothes closet', 'NNS,NN')",0.5,4.51085950651685,2.255429753258425
"('glad', 'VB')",0.5,4.51085950651685,2.255429753258425
"('register', 'NN')",0.5,4.51085950651685,2.255429753258425
"('step closer', 'NN,RBR')",0.5,4.51085950651685,2.255429753258425
"('outside', 'JJ')",1.0,2.159484249353372,2.159484249353372
"('usual', 'JJ')",1.0,2.1129642337184795,2.1129642337184795
"('cases', 'NNS')",0.5,4.105394398408686,2.052697199204343
"('orders', 'NNS')",0.5,4.105394398408686,2.052697199204343
"('slept', 'NN')",0.5,4.105394398408686,2.052697199204343
"('entire morning', 'JJ,NN')",0.5,4.105394398408686,2.052697199204343
"('crowbar', 'NN')",0.5,4.105394398408686,2.052697199204343
"('six weeks', 'CD,NNS')",0.5,4.105394398408686,2.052697199204343
"('outside doors', 'JJ,NNS')",0.5,4.105394398408686,2.052697199204343
"('gang', 'NN')",0.5,4.105394398408686,2.052697199204343
"('caused', 'VBD')",0.5,4.105394398408686,2.052697199204343
"('cash', 'NN')",0.5,4.105394398408686,2.052697199204343
"('tucked', 'VBN')",0.5,4.105394398408686,2.052697199204343
"('landing', 'VBG')",0.5,4.105394398408686,2.052697199204343
"('sicily', 'NNP')",0.5,4.105394398408686,2.052697199204343
"('another step', 'DT,NN')",0.5,4.105394398408686,2.052697199204343
"('closer', 'RBR')",0.5,4.105394398408686,2.052697199204343
"('the…', 'VB')",0.5,4.105394398408686,2.052697199204343
"('station', 'NN')",0.5,3.817712325956905,1.9088561629784524
"('wash', 'VB')",0.5,3.817712325956905,1.9088561629784524
