token,tf score,idf score,tf-idf score
"('truth', 'NN')",1.8604651162790697,2.370793343020579,4.410778312596426
"('prayers', 'NNS')",0.9302325581395349,3.594568774642695,3.3437849066443674
"('apologize', 'VB')",0.9302325581395349,3.41224721784874,3.1741834584639443
"('sorry', 'NN')",0.9302325581395349,3.1245651453969594,2.906572228276241
"('mother', 'NN')",1.3953488372093024,1.6776461624606338,2.3409016220380936
"('bed', 'NN')",1.3953488372093024,1.6204877486206852,2.2611456957497933
"('love', 'VB')",0.9302325581395349,2.370793343020579,2.205389156298213
"('another item', 'DT,NN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('mother came', 'NN,VBD')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('tuck', 'VB')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('ready', 'NN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('prayers tonight', 'NNS,VBN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('tonight', 'VBN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('mother got', 'NN,VBD')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('slowly walked', 'RB,VBN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('walked toward', 'VBN,IN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('walked', 'VBN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('face contorted', 'NN,VBN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('contorted', 'VBN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('tears slid', 'NNS,VBD')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('slid', 'VBD')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('lay still', 'VBD,RB')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('reject', 'VB')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('cruelly', 'RB')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('hypocrite', 'NN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('felt sorry', 'VBD,NN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('mother—very', 'NNP')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('sorry—because', 'RB')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('indifferent', 'NN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('coldness', 'NN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('rejected', 'VBD')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('one whose', 'CD,WP$')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('whose tactless', 'WP$,NN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('tactless comments', 'NN,NNS')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('cruel jokes', 'NN,NNS')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('insensitive', 'JJ')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('heart sinks', 'NN,VBZ')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('sinks every', 'VBZ,DT')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('heart sank', 'NN,NN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('sinks', 'VBZ')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('sank', 'NN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('cried half', 'VBD,PDT')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('avoided looking', 'VBN,VBG')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('unspoken words', 'JJ,NNS')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('everyone expects', 'NNP,VBZ')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('later mother', 'RBR,NNP')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('everyone', 'NNP')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('sooner', 'RBR')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('always felt', 'RB,VBD')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('remain silent', 'VB,JJ')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('aloof', 'JJ')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('intend', 'NN')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('postponed', 'VBD')",0.46511627906976744,4.51085950651685,2.0980741890776047
"('tears', 'NNS')",0.9302325581395349,2.1129642337184795,1.9655481243892832
"('item', 'NN')",0.46511627906976744,4.105394398408686,1.9094857667017144
"('gently', 'RB')",0.46511627906976744,4.105394398408686,1.9094857667017144
"('stood beside', 'VBD,IN')",0.46511627906976744,4.105394398408686,1.9094857667017144
"('also knew', 'RB,VBD')",0.46511627906976744,4.105394398408686,1.9094857667017144
"('incapable', 'JJ')",0.46511627906976744,4.105394398408686,1.9094857667017144
"('answering', 'VBG')",0.46511627906976744,4.105394398408686,1.9094857667017144
"('pray', 'NN')",0.46511627906976744,4.105394398408686,1.9094857667017144
"('tactless', 'NN')",0.46511627906976744,4.105394398408686,1.9094857667017144
"('cruel', 'NN')",0.46511627906976744,4.105394398408686,1.9094857667017144
"('funny', 'NNS')",0.46511627906976744,4.105394398408686,1.9094857667017144
"('harsh words', 'JJ,NNS')",0.46511627906976744,4.105394398408686,1.9094857667017144
"('cross mine', 'VB,NN')",0.46511627906976744,4.105394398408686,1.9094857667017144
"('avoided', 'VBN')",0.46511627906976744,4.105394398408686,1.9094857667017144
"('unspoken', 'JJ')",0.46511627906976744,4.105394398408686,1.9094857667017144
