token,tf score,idf score,tf-idf score
"('nightmare', 'NN')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('others notice', 'NNS,RB')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('notice', 'RB')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('peter van', 'NNP,VBP')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('one peter', 'CD,NNP')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('takes advantage', 'VBZ,NN')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('horrible', 'NN')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('exasperating', 'JJ')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('claim', 'VB')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('join', 'NN')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('every rasp', 'DT,NN')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('another chunk', 'DT,NN')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('courage broke', 'NN,VBD')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('rasp', 'NN')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('distance', 'NN')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('tolling', 'VBG')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('pure', 'VBN')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('sentimental', 'NN')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('foolish', 'JJ')",1.0638297872340425,4.51085950651685,4.7987867090604786
"('aching', 'VBG')",1.0638297872340425,4.105394398408686,4.367440849370943
"('smiling face', 'VBG,NN')",1.0638297872340425,4.105394398408686,4.367440849370943
"('carpentry work', 'NN,NN')",1.0638297872340425,4.105394398408686,4.367440849370943
"('carpentry', 'NN')",1.0638297872340425,4.105394398408686,4.367440849370943
"('chunk', 'NN')",1.0638297872340425,4.105394398408686,4.367440849370943
"('despondent', 'NN')",1.0638297872340425,4.105394398408686,4.367440849370943
"('peter schiff', 'NNP,NNP')",1.0638297872340425,3.817712325956905,4.061396091443516
"('van daan', 'VBP,NNP')",1.0638297872340425,3.817712325956905,4.061396091443516
"('melted', 'VBN')",1.0638297872340425,3.817712325956905,4.061396091443516
"('long', 'VBP')",1.0638297872340425,3.817712325956905,4.061396091443516
"('left alone', 'VBN,RB')",1.0638297872340425,3.817712325956905,4.061396091443516
"('advantage', 'NN')",1.0638297872340425,3.817712325956905,4.061396091443516
"('smiling', 'VBG')",1.0638297872340425,3.817712325956905,4.061396091443516
"('bang', 'NN')",1.0638297872340425,3.817712325956905,4.061396091443516
"('pure', 'NN')",1.0638297872340425,3.817712325956905,4.061396091443516
"('heart', 'NN')",2.127659574468085,1.80280930541464,3.8357644796056167
"('awake', 'NN')",1.0638297872340425,3.594568774642695,3.8240093347262714
"('schiff', 'NNP')",1.0638297872340425,3.594568774642695,3.8240093347262714
"('nearly every', 'RB,DT')",1.0638297872340425,3.41224721784874,3.630050231753979
"('every hour', 'DT,NN')",1.0638297872340425,3.41224721784874,3.630050231753979
"('pretend', 'VB')",1.0638297872340425,3.41224721784874,3.630050231753979
"('desperately', 'RB')",1.0638297872340425,3.41224721784874,3.630050231753979
"('broke', 'VBD')",1.0638297872340425,3.41224721784874,3.630050231753979
"('van', 'VBP')",1.0638297872340425,3.258096538021482,3.466060146831364
"('nice', 'NN')",1.0638297872340425,3.258096538021482,3.466060146831364
"('courage', 'NN')",1.0638297872340425,3.006782109740576,3.1987043720644426
"('loft', 'NN')",1.0638297872340425,2.9014215940827497,3.086618717109308
"('unhappy', 'JJ')",1.0638297872340425,2.9014215940827497,3.086618717109308
"('peter', 'NNP')",4.25531914893617,0.7041970167465302,2.996583049985235
"('worst', 'JJS')",1.0638297872340425,2.806111414278425,2.9852249088068348
"('cheerful', 'JJ')",1.0638297872340425,2.495956485974585,2.6552728574197713
"('takes', 'VBZ')",1.0638297872340425,2.2082744135228043,2.349228099492345
"('left', 'VBN')",1.0638297872340425,2.159484249353372,2.297323669524864
"('clock', 'NN')",1.0638297872340425,2.0685124711476455,2.2005451820719633
"('goes', 'VBZ')",1.0638297872340425,2.02595285672885,2.155268996520053
"('see', 'VBP')",1.0638297872340425,1.8367108570903212,1.9539477203088524
"('help', 'VB')",1.0638297872340425,1.8367108570903212,1.9539477203088524
"('makes', 'VBZ')",1.0638297872340425,1.770019482591649,1.8829994495655842
"('face', 'NN')",1.0638297872340425,1.770019482591649,1.8829994495655842
"('nearly', 'RB')",1.0638297872340425,1.7382707842770688,1.8492242385926263
"('hour', 'NN')",1.0638297872340425,1.7074991256103151,1.8164884315003351
"('others', 'NNS')",1.0638297872340425,1.7074991256103151,1.8164884315003351
"('alone', 'RB')",1.0638297872340425,1.7074991256103151,1.8164884315003351
"('attic', 'JJ')",1.0638297872340425,1.7074991256103151,1.8164884315003351
"('mind', 'NN')",1.0638297872340425,1.6486586255873816,1.7538921548801931
"('every', 'DT')",2.127659574468085,0.7972874398125424,1.6963562549203028
"('kind', 'NN')",1.0638297872340425,1.5151272329628591,1.611837481875382
"('know', 'VBP')",2.127659574468085,0.7496593908232877,1.5950199804750802
"('work', 'NN')",1.0638297872340425,1.4198170531585343,1.5104436735729088
"('yet', 'RB')",1.0638297872340425,1.3538590853667367,1.4402756227305709
"('let', 'VB')",1.0638297872340425,1.2721810543524696,1.3533841003749676
"('oh', 'UH')",1.0638297872340425,1.2721810543524696,1.3533841003749676
"('even', 'RB')",2.127659574468085,0.6088868369422055,1.2955039083876712
