token,tf score,idf score,tf-idf score
"('alone', 'RB')",3.896103896103896,1.7074991256103151,6.652593995884344
"('another sunday', 'DT,NNP')",1.2987012987012987,4.51085950651685,5.858259099372532
"('rolled around', 'VBN,IN')",1.2987012987012987,4.51085950651685,5.858259099372532
"('boring enough', 'JJ,RB')",1.2987012987012987,4.51085950651685,5.858259099372532
"('warehouse yet', 'NN,RB')",1.2987012987012987,4.51085950651685,5.858259099372532
"('maybe sometime', 'RB,RB')",1.2987012987012987,4.51085950651685,5.858259099372532
"('german planes', 'JJ,NNS')",1.2987012987012987,4.51085950651685,5.858259099372532
"('planes flew', 'NNS,VBD')",1.2987012987012987,4.51085950651685,5.858259099372532
"('flew back', 'VBD,RB')",1.2987012987012987,4.51085950651685,5.858259099372532
"('flew', 'VBD')",1.2987012987012987,4.51085950651685,5.858259099372532
"('fear vanished', 'NN,VBN')",1.2987012987012987,4.51085950651685,5.858259099372532
"('trusted', 'VBN')",1.2987012987012987,4.51085950651685,5.858259099372532
"('intense need', 'JJ,NN')",1.2987012987012987,4.51085950651685,5.858259099372532
"('left alone', 'VBD,RB')",1.2987012987012987,4.51085950651685,5.858259099372532
"('rolled', 'VBN')",1.2987012987012987,4.105394398408686,5.331681036894397
"('sometime soon', 'RB,RB')",1.2987012987012987,4.105394398408686,5.331681036894397
"('vanished', 'VBN')",1.2987012987012987,4.105394398408686,5.331681036894397
"('intense', 'JJ')",1.2987012987012987,4.105394398408686,5.331681036894397
"('usual self', 'JJ,NN')",1.2987012987012987,4.105394398408686,5.331681036894397
"('mind', 'VB')",1.2987012987012987,3.817712325956905,4.958067955788188
"('noticed', 'VBN')",1.2987012987012987,3.817712325956905,4.958067955788188
"('scream', 'VB')",1.2987012987012987,3.817712325956905,4.958067955788188
"('nights', 'NNS')",1.2987012987012987,3.594568774642695,4.668271135899604
"('self', 'NN')",1.2987012987012987,3.41224721784874,4.431489893310052
"('bothering', 'VBG')",1.2987012987012987,3.41224721784874,4.431489893310052
"('count', 'NN')",1.2987012987012987,3.258096538021482,4.231294205222704
"('sky', 'NN')",1.2987012987012987,3.258096538021482,4.231294205222704
"('support', 'NN')",1.2987012987012987,3.1245651453969594,4.057876812203843
"('boring', 'JJ')",1.2987012987012987,3.006782109740576,3.904911830831917
"('sometime', 'RB')",1.2987012987012987,3.006782109740576,3.904911830831917
"('forth', 'NN')",1.2987012987012987,2.9014215940827497,3.7680799923152595
"('went downstairs', 'VBD,NNS')",1.2987012987012987,2.806111414278425,3.6443005380239284
"('planes', 'NNS')",1.2987012987012987,2.806111414278425,3.6443005380239284
"('fear', 'NN')",1.2987012987012987,2.719100037288795,3.5312987497257073
"('beginning', 'NN')",1.2987012987012987,2.6390573296152584,3.4273471813185172
"('stood', 'VBD')",1.2987012987012987,2.6390573296152584,3.4273471813185172
